Scramble		Answer
sgSrf omnoWti		Wings of Storm
gnohLiS grdiwtn		Lightning Sword*
nar fn SgW oeiiddcR	Sacred Ring of Wind
gon Rzdifr Wai		Ring of Wizard
duolSneradhGS i l	Grand Soul Shield
ClBl sdoaeot		Blood Castle
nIe ulTlmpioles		Illusion Temple*
girloAutrnhS m		Sunlight Armor
t ctSMseprerae		Master Scepter*
nProo Aatmrhm		Phantom Armor*
lB laueebodD		Double Blade
eSi ooDrfcd wotsrtun	Sword of Destruction
t taofutS ofinrfsDce	Staff of Destruction
SaerfuT nfthd		Thunder Staff*
fs wCal oJoeeh		Jewel of Chaos
ni Jlewre Cotoefa	Jewel of Creation*
rHusatrB oncieo		Hurricane Boots
iA aocerurrnHmr		Hurricane Armor
aoievruGr esnHlc	Hurricane Gloves
itrecsH ranuaPn		Hurricane Pants
gnnrodoDGel a		Golden Dragon
elon GdolnGbi		Golden Goblin
rAwaossd Clgqoobu	Aquagold Crossbow*
axerAaLn k		Larkan Axe
rnPawo ahmrgAe		Phaewang Armor
el HasrBsm		Brass Helm*
Blt eoaoscS		Scale Boots
oiiSrrpAt mr		Spirit Armor
swocl vrshGeoA		Ashcrow Gloves
Bl ill oBofarg		Bill of Balrog*
Efaeo fT rl		Tear of Elf*
rauGra mmnofod Ar	Armor of Guardman
nHtnofniao rr Do	Horn of Dinorant
atarn eM inLaogPo	Large Mana Potion
aiHoagl niSlePonml t	Small Healing Potion
iag esigniu sGiRtDn	Giant Disguise Ring
nr aeHlloH oein fM	Horn of Hell Maine
ndsfnlO ohcataoi creP	Pendant of Orichalcos
Sorw ekrdnBo		Broken Sword*
omofEoetSp ler chlr r	Scroll of the Emperor
PSeLrgDn at oio		Large SD Potion
B eeaFreulth		Blue Feather
hggP nniiaed ofLttnn	Pendant of Lightning
nrfpii tiWsog S		Wings of Spirit
kWDsrona f ssineg	Wings of Darkness
Wv lnesEing		Elven Wings*
oa f pCdroLe		Cape of Lord
edr rtoet paLGreSc	Great Lord Scepter
oSlcm lomrnf Sou	Scroll of Summon
ilvPLhteG soat egl	Light Plate Gloves
arSDn eoprag		Dragon Spear
fInmlb pOogr ai		Orb of Impaling
gbatr hLSei		Light Saber
doSalrwcHa lie		Heliacal Sword
lmerl hdSadaeiaSn	Salamander Shield
zhie SBoeldrn		Bronze Shield
oClonyGmsr ri		Crimson Glory
Sls oIrcelastabe rsehe	Isabella the Sorceress
renpCaincaetw aL	Captain Lawrence
utrauaGaVil dn		Vault Guardian
rrehtLA reamo		Leather Armor
ahreLlH mtee		Leather Helm
la LhGsvteoeer		Leather Gloves
oherLa eotBst		Leather Boots
etP Lheatnasr		Leather Pants
S erlhCnaaodD oisgh	Chaos Dragon Shield
sigC we hioD gaRnseiDtu - Death Cow Disguise Ring
pAple			Apple
eucpSAebselro tt	Absolute Scepter
sisttcehEh aneanrnZn e	Zienna the Enchantress
enshme oKnoTpl		Thompson Kenel
defloSEli r		Elf Soldier
ogeunnD			Dungeon
ddlFrrneoPle ece	Peddler Florence
r tTeienarP		Pet Trainer
nMxclehr etaA		Merchant Alex
sar DnCeKtg dkihur	Cursed Dark Knight
tMishg ee Paa		Pasi the Mage
du reizWdCasr		Cursed Wizard
htc ekhtnH miBlazaos	Hanzo the Blacksmith
onoGs iCbalh		Chaos Goblin
rnaeH fJmlowe oy	Jewel of Harmony
eocn oASrlwrf ghda	Sword of Archangel
Erteh od lEehc		Eoch the Elder
aLa i eFytrarh		Lara the Fairy
onDro oHom f		Horn of Doom
r eeceeraalRhScrtps	Spectral Researcher
t RrrseiiePa		Priest Reira
leinda tGTon		Golden Titan
ito fEaRnh rg		Ring of Earth
nLchd irThue		Thunder Lich
hgrule litFB		Bull Fighter
SohStd rorw		Short Sword
lA lcrhaeoo lcrgnSf	Scroll of Archangel
lnKo d mSufunbyo	Symbol of Kundun
kkNAia exe		Nikkea Axe
nnat riploCMaa		Captain Marlon
Hn oefoavBe x		Box of Heaven
xc o LBkouf		Box of Luck
anRe			Rena
ClaehC tsaso		Chaos Castle
idei igoDg g rgnanDsuRseuB - Budge Dragon Disguise Ring
aiAd			Aida
fcSAfal intge		Angelic Staff
rdrn RoIie		Iron Rider
iSlWp refntol		Splinter Wolf
fositrW Sngmo		Wings of Storm
rmg AaoDnrro		Dragon Armor
o ngarDtnaPs		Dragon Pants
crnoeLia		Lorencia
dhsrBye			Berdysh
aeoBwesilt lC		Celestial Bow
ShwBoo tr		Short Bow
SAl aexlm		Small Axe
efl weuoolJ S		Jewel of Soul
aL otspM		Lost Map
ksaaBrcr		Barracks
lel lhaVHlmaa		Valhalla Helm
efStpf atiS		Spite Staff
lsoreiEprA mc		Eclipse Armor
ols sepcBtiEo		Eclipse Boots
cseGvEolpl sie		Eclipse Gloves
Hcspeelmil E		Eclipse Helm
pEsicles tnPa		Eclipse Pants
icr foecc Skra ltlSlorEp - Scroll of Electric Spark
letMEmleeacna		Elemental Mace
lledmEatln heiSe	Elemental Shield
iletl eaSePEph ldet	Eplete Plate Shield
BtevEi n aoPssn		Evis Bone Pants
Aruesubq		Arquebus
exlAvEn e		Elven Axe
uaGldsi			Gladius
iGrwd tanSo		Giant Sword
edgln tBhiaK		Knight Blade
unRhr lagidLedoSe	Large Round Shield
fo Fnand eietPr		Pendant of Fire
Pearto rAml		Plate Armor
emtelaPl H		Plate Helm
PtaaPtl nse		Plate Pants
esaGo vtelPl		Plate Gloves
Psteoao lBt		Plate Boots
SoAter i prdiRmr	Red Spirit Armor
iG oRrd pesSivlet	Red Spirit Gloves
Rsttp ideraPSi n	Red Spirit Pants
Spe Hmdit rileR		Red Spirit Helm
nleRBu dae		Rune Blade
rig weToB		Tiger Bow
rmntrloAirpS e		Splinter Armor
lt SeaprBttece		Battle Scepter

booya
asdasdasd
